文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
qmlplugin.dll,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQml\qmlplugin.dll,29464,28.77 B,2022-01-06 07:41:14,false,e165326b124406b52fbe6a766504075e,73f42994a2b855512640a90a34e0bc21219ec8e84f9457f1a3183d29b7a472ac,dll,application/x-msdownload
ApplicationWindow.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\ApplicationWindow.qmlc,14112,13.78 B,2022-01-06 07:51:02,false,f3507cd3d27ebc370f47f940674f2b8f,e9e270ab0951e1a1adc75571c78e01cc17a34789e1e200c956a86b60dc821c09,qmlc,
BusyIndicator.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\BusyIndicator.qmlc,1840,1.80 B,2022-01-06 07:51:08,false,4b7ef94de73d906536df7abd9daf2a6b,4bb0e45d4e89203076a25fb82961d0511e0a462a81800a62c8d0af7fe2464152,qmlc,
BusyIndicator.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\BusyIndicator.qml,3172,3.10 B,2020-10-27 08:02:10,false,d1f9f9211aa7fae7f0d9579fc123d685,5f8fb95dee1242fa981c0201d82e0094880c88f98ebb7516d5f692a63cb64f8f,qml,
Button.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Button.qml,4722,4.61 B,2020-10-27 08:02:10,false,2e42047fe47f5b070dc7c903c4e520fc,e30f2574809b4a3d6804cd6405fd56a1eb59f0ebd63fccfade27cc12e45c9eaa,qml,
Button.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Button.qmlc,6288,6.14 B,2022-01-06 07:51:04,false,e045944bb01db953e41bc23e1d2d0cfe,57f69e93b740c213bb5f2c0afd9fd9a5ecece72446da7237b7ff45c972a853cb,qmlc,
Calendar.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Calendar.qml,14053,13.72 B,2020-10-27 08:02:10,false,8271ac3d4e6b5e7bf47dae0fcf2b6276,d5bc343b79803dbb1f28e2a9e88614f07db92d04abbb2c87df9a83dff47fc021,qml,
CheckBox.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\CheckBox.qml,7217,7.05 B,2020-10-27 08:02:10,false,cdce4812d071c06c97a540e246768c75,c2972f85ca4bcf1d5f11364e46c297d70f611f43f7618fd7e77b421363e3a4bf,qml,
Calendar.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Calendar.qmlc,11360,11.09 B,2022-01-06 07:51:10,false,53be1d0193d805c480052fee32d7f6d0,0a9489ec18d5d656ba837a997bc4676e5d2d2b516eb727f82bb40b4c3423f77a,qmlc,
CheckBox.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\CheckBox.qmlc,5416,5.29 B,2022-01-06 07:51:14,false,b5e40e227507f14cf9b273cafacb1ad1,11c8030343f1a37063edf5ab13e5dd0f4edcf8fa53ce0d5406c6ae9436ced8cc,qmlc,
GroupBox.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\GroupBox.qml,9280,9.06 B,2020-10-27 08:02:10,false,f62f4f4eebb6b58235389e671c884ac4,123c647773d5d885a3db2f5e5bbfb13b51f2c8869783ceb48d5f93cb0e3401e3,qml,
